#{"t_start": 1722677852.5944464, "env_id": "None"}
r,l,t
-1715.318104,48,0.049733
-1380.301653,48,0.092382
-1346.892837,48,0.135809
-1285.125928,48,0.177996
-899.385425,48,0.221025
-1064.165482,48,0.263156
-1097.98584,48,0.305106
-1636.636241,48,0.348523
-1215.100969,48,0.390947
-1816.895913,48,0.434315
-1506.455786,48,0.47737
-1962.550389,48,0.520983
-1412.411156,48,0.563231
-1457.716416,48,0.605549
-2330.387071,48,0.648925
-967.663118,48,0.691301
-853.92823,48,0.736079
-1497.915007,48,0.778372
-1605.456962,48,0.821711
-1583.318353,48,0.864083
-962.796544,48,0.906425
-1145.878391,48,0.949768
-918.125047,48,0.992235
-1097.993214,48,1.035308
-2007.654921,48,1.077507
-1240.485977,48,1.120478
-1156.282244,48,1.16246
-844.198599,48,1.204492
-1308.552861,48,1.248116
-1029.331899,48,1.290825
-1166.219175,48,1.333898
-792.169223,48,1.376369
-1496.860054,48,1.418418
-1113.722939,48,1.463739
-1095.10527,48,1.50645
-1070.274429,48,1.549928
-699.162298,48,1.592011
-1499.972269,48,1.635258
-1667.797743,48,1.677121
-1418.531233,48,1.719067
-732.333504,48,1.762367
-842.687382,48,1.804337
-896.176917,48,1.847387
-1522.298565,48,1.88971
-1239.064275,48,1.932971
-1566.900433,48,1.975342
-1369.43956,48,2.017411
-935.787584,48,2.060525
-1028.625222,48,2.102742
-1262.528979,48,2.146186
-1308.164651,48,2.190215
-1383.860638,48,2.233368
-655.348456,48,2.275538
-664.148303,48,2.317407
-1615.874559,48,2.360997
-1987.831254,48,2.403424
-1311.831249,48,2.446819
-992.968445,48,2.490283
-2093.975332,48,2.533699
-1427.151471,48,2.575936
-1596.161542,48,2.618306
-1376.060321,48,2.661741
-1860.369319,48,2.703837
-1433.807096,48,2.74691
-1367.632814,48,2.789201
-977.146331,48,2.831326
-2311.962695,48,2.876547
-1470.185791,48,2.918975
-1818.14061,48,2.962288
-815.368643,48,3.004376
-919.163548,48,3.047693
-899.331435,48,3.089997
-1710.791899,48,3.132141
-1506.516406,48,3.175543
-1610.702909,48,3.2175
-1407.895325,48,3.260575
-1361.513136,48,3.302783
-2155.236004,48,3.346085
-1532.797013,48,3.388705
-1043.61569,48,3.430464
-1100.367927,48,3.474256
-1642.07047,48,3.517101
-972.79814,48,3.560473
-1785.435416,48,3.604147
-1168.444456,48,3.647964
-907.386916,48,3.690079
-1512.208699,48,3.732219
-1121.452341,48,3.775581
-758.453146,48,3.817921
-1328.022626,48,3.861533
-999.873888,48,3.903867
-1311.168119,48,3.946941
-1641.545074,48,3.989252
-1421.16997,48,4.031194
-1613.284457,48,4.074583
-814.022008,48,4.116887
-1250.48761,48,4.160073
-1170.618896,48,4.202254
-1192.531308,48,4.244038
-1167.602259,48,4.287318
-1372.825948,48,4.331049
-941.400419,48,4.374534
-1486.163929,48,4.416559
-902.343526,48,4.459263
-1121.905571,48,4.502602
-853.435079,48,4.545121
-1135.220827,48,4.588431
-1284.346441,48,4.630311
-1259.406801,48,4.673381
-1392.375787,48,4.715551
-1140.071397,48,4.75833
-1680.641894,48,4.80012
-1220.335706,48,4.841958
-1738.154874,48,4.884831
-986.154443,48,4.927076
-2214.384235,48,4.970253
-1458.962092,48,5.01351
-1171.897219,48,5.055385
-948.504559,48,5.098442
-1145.361306,48,5.140895
-1276.937123,48,5.184491
-1217.610012,48,5.23444
-1379.749821,48,5.28858
-1442.02944,48,5.330783
-1242.384305,48,5.374252
-1052.137809,48,5.416729
-1468.599128,48,5.458781
-1392.722999,48,5.503177
-708.067933,48,5.545134
-1193.88235,48,5.588299
-968.914289,48,5.630558
-1569.144705,48,5.673732
-949.93638,48,5.71608
-1416.952796,48,5.759712
-1567.940331,48,5.802647
-1570.309809,48,5.844634
-1846.148438,48,5.887988
-1522.73115,48,5.9303
-1391.306204,48,5.973393
-1181.295367,48,6.015389
-1228.314067,48,6.057265
-1104.712483,48,6.100508
-1817.328626,48,6.142162
-2040.089838,48,6.18531
-1600.416263,48,6.227421
-1047.596849,48,6.269106
-1601.261746,48,6.312343
-1362.651868,48,6.354241
-1795.464292,48,6.397532
-1811.468168,48,6.439532
-1939.129907,48,6.484824
-1742.315133,48,6.52764
-755.156798,48,6.569846
-1643.26483,48,6.613276
-1933.132779,48,6.655474
-1178.671619,48,6.698794
-961.077747,48,6.741054
-862.255977,48,6.784182
-1271.433444,48,6.826436
-961.587982,48,6.868482
-920.448502,48,6.911654
-2458.389338,48,6.953821
-889.312507,48,6.997316
-1143.157838,48,7.039399
-1952.277974,48,7.082299
-1049.727266,48,7.12434
-2279.235468,48,7.168083
-1016.641941,48,7.211607
-1323.93172,48,7.253942
-1323.674369,48,7.297146
-1175.625524,48,7.339195
-1640.620743,48,7.38135
-1591.081336,48,7.424779
-1219.725172,48,7.467253
-1068.737897,48,7.511219
-1115.024418,48,7.553424
-1230.176113,48,7.596598
-1367.815596,48,7.639051
-2093.566523,48,7.681263
-722.980351,48,7.724536
-1642.788039,48,7.7668
-1010.552634,48,7.810217
-1182.669982,48,7.852378
-2087.668646,48,7.897561
-1719.98839,48,7.939877
-1180.418335,48,7.98224
-973.215903,48,8.025137
-3714.092354,48,8.06721
-867.106613,48,8.110239
-964.273011,48,8.152647
-914.545022,48,8.195496
-1754.529623,48,8.237843
-1577.085154,48,8.280012
-1461.024192,48,8.323333
-911.448409,48,8.365391
-1020.016284,48,8.408351
-1627.966446,48,8.450523
-1171.168931,48,8.492815
-1316.040165,48,8.535906
-1471.555979,48,8.578205
-1337.417066,48,8.623326
-972.999318,48,8.665155
-827.883646,48,8.708472
-791.333144,48,8.750597
-1573.795773,48,8.792788
-1447.15628,48,8.835678
-1745.818739,48,8.878462
-1636.863822,48,8.921516
-1895.579421,64,9.208469
-1943.953783,48,9.251015
-1277.286315,48,9.293123
-1270.899957,48,9.336119
-1103.483613,48,9.378579
-1127.266579,48,9.421783
-720.73097,48,9.464175
-1439.650512,48,9.508417
-1132.103484,48,9.552325
-1015.431904,48,9.594461
-1169.553572,48,9.637428
-1628.828501,48,9.679409
-2397.790099,48,9.722742
-1034.043433,48,9.76501
-2128.799683,48,9.807147
-1121.166093,48,9.850573
-970.737357,48,9.892697
-1518.755638,48,9.935869
-1935.672942,48,9.97822
-1226.759724,48,10.021377
-600.282618,48,10.063645
-992.275074,48,10.105547
-1151.429308,48,10.148498
-1252.62211,48,10.190799
-1229.872171,48,10.234443
-914.57293,48,10.278178
-1188.927149,48,10.321383
-1677.039963,48,10.363875
-1245.130924,48,10.405697
-778.758404,48,10.448935
-1811.220228,48,10.491444
-1442.395404,48,10.535095
-1095.635564,48,10.57743
-1092.709057,48,10.620492
-943.364192,48,10.662799
-1123.248909,48,10.70495
-1098.80996,48,10.748571
-1510.560386,48,10.791104
-1312.673594,48,10.834571
-3988.975059,48,10.877414
-1429.989744,48,10.920812
-1109.385164,48,10.964731
-1108.174658,48,11.007188
-2747.244602,48,11.050458
-2254.708344,48,11.093046
-1020.951617,48,11.136874
-1951.972335,48,11.179235
-1132.573608,48,11.221513
-1078.893385,48,11.26483
-1158.487218,48,11.306903
-1814.500637,48,11.350411
-1406.792387,48,11.39301
-1496.459553,48,11.436567
-3876.387003,48,11.479017
-1587.796912,48,11.522721
-2003.074104,48,11.566062
-1331.862885,48,11.608293
-1135.992378,48,11.651722
-3976.35555,48,11.695929
-1620.405487,48,11.73957
-900.093556,48,11.781994
-738.340538,48,11.82413
-1979.373441,48,11.867757
-1258.332291,48,11.90995
-1778.176175,48,11.953439
-901.57796,48,11.995805
-890.530336,48,12.039457
-1016.045937,48,12.081927
-1102.131505,48,12.124332
-1466.749313,48,12.167522
-828.717189,48,12.209891
-980.263701,48,12.25309
-733.622495,48,12.295717
-1003.866589,48,12.339063
-2076.444941,48,12.381485
-955.405232,48,12.425506
-5052.028912,48,12.468767
-820.674781,48,12.51176
-1434.544105,48,12.555354
-763.049163,48,12.597944
-992.577771,48,12.641102
-994.879961,48,12.683105
-1903.832991,48,12.725382
-550.440807,48,12.768786
-784.648769,48,12.81088
-1186.799246,48,12.85428
-715.726432,48,12.896747
-1592.668429,48,12.939221
-1148.33914,48,12.982633
-1655.740498,48,13.02493
-1612.501727,48,13.06835
-1177.73744,48,13.112569
-1630.937641,48,13.156176
-3732.090032,48,13.19875
-1557.475176,48,13.241129
