#{"t_start": 1722442269.9361308, "env_id": "None"}
r,l,t
-543086693699374.9,48,0.044074
-2.0676392107213504e+16,48,0.077982
-8947622008883910.0,48,0.112438
-1.5961656373392506e+16,48,0.145489
-1.3764027095740026e+16,48,0.178756
-2.174242168285658e+16,48,0.213215
-1.2059773983678092e+16,48,0.2463
-2.5540214483901284e+16,48,0.27934
-2.335804179269525e+16,48,0.313684
-1.6633296828961278e+16,48,0.346601
-1.4921508783447394e+16,48,0.379616
-1.5615357014987718e+16,48,0.414014
-2.4488960919869804e+16,48,0.447202
-3.0353604580166452e+16,48,0.481441
-3.757020294146574e+16,48,0.516424
-2.4247486923708696e+16,48,0.549649
-2.4091059137149012e+16,48,0.583111
-1.6068795270097766e+16,48,0.617665
-3.1422945683568416e+16,48,0.650945
-2.6158083584360156e+16,48,0.684012
-3.811895012987792e+16,48,0.718433
-3.1940316136671504e+16,48,0.751765
-2.0067682467575656e+16,48,0.785098
-2.1623526593339504e+16,48,0.819322
-1.474914871466601e+16,48,0.852402
-1.9224985112033508e+16,48,0.885612
-1.8911581545318572e+16,48,0.919897
-1.9767223617354548e+16,48,0.952904
-3.4435768649762344e+16,48,0.986205
-3.643591048647699e+16,48,1.020526
-2.8883343601226572e+16,48,1.05384
-2.1263986961857092e+16,48,1.08702
-2.862158982770616e+16,48,1.121386
-1.2509499424101022e+16,48,1.154809
-2.5169269041736064e+16,48,1.188044
-2.0379984124781476e+16,48,1.222116
-2.990639309925567e+16,48,1.255635
-3.789073979294978e+16,48,1.288726
-2.4103645938783164e+16,48,1.322055
-2.1032285415418332e+16,48,1.356336
-4.250509560518408e+16,48,1.389587
-3.5085082025428372e+16,48,1.422815
-1.8349857207517456e+16,48,1.603207
-1.589841648990638e+16,48,1.63784
-2.638792874738371e+16,48,1.671227
-1.2839339765574968e+16,48,1.704269
-1.9694372855615236e+16,48,1.738779
-1.982152125866304e+16,48,1.772764
-1.5455913991238328e+16,48,1.806554
-7905342746217109.0,48,1.841572
-2.2329533449887184e+16,48,1.875427
-1.6203382756200428e+16,48,1.909142
-2.913917944388557e+16,48,1.943954
-1.0155461940649398e+16,48,1.977875
-1.3219377772024666e+16,48,2.011747
-1.5937730426277614e+16,48,2.046585
-1.0783486358621242e+16,48,2.080476
-864143615261511.9,48,2.11431
-4.324067860562966e+16,48,2.149291
-3.3276485837963908e+16,48,2.18307
-2.8501921728342428e+16,48,2.216954
-2.509437139504036e+16,48,2.25174
-2.0213996041485636e+16,48,2.285642
-1.8560687529195416e+16,48,2.319232
-1.4466288787982828e+16,48,2.354044
-1.7327712754696004e+16,48,2.387772
-1.405422020881289e+16,48,2.421549
-2.0896321930805584e+16,48,2.456469
-8300292662732835.0,48,2.490354
-3.5260475756761916e+16,48,2.524069
-1.074290620423152e+16,48,2.558947
-1.315265665785248e+16,48,2.592564
-2.1835448284896616e+16,48,2.626294
-1.9301445210254336e+16,48,2.661257
-1.3510209295980042e+16,48,2.69504
-9087870379683042.0,48,2.728531
-2.4235873673568404e+16,48,2.763362
-2.024528264149607e+16,48,2.797163
-1.2067854159525616e+16,48,2.830953
-2.028202394726112e+16,48,2.86573
-2.254866229083833e+16,48,2.899637
-3.0940349227965196e+16,48,2.933361
-4.146100908897583e+16,48,2.968348
-2.6527847757112796e+16,48,3.002224
-2.2410013079728108e+16,48,3.035939
-5070732390526886.0,48,3.216864
-1.6334473210112146e+16,48,3.252008
-9600942939793338.0,48,3.285901
-5.703331161768228e+16,48,3.319989
-2.0978750759950056e+16,48,3.355102
-2.3741283107709384e+16,48,3.389147
-2.408141904225233e+16,48,3.422924
-1.864804268290242e+16,48,3.45807
-2.443506312964081e+16,48,3.492269
-2.5671997042042788e+16,48,3.526257
-1.7957479354495698e+16,48,3.560994
-5330840704526800.0,48,3.595824
-1.0943952896732808e+16,48,3.629644
-2.5833609521799996e+16,48,3.664609
-2.1388219634164556e+16,48,3.698358
-3.3728600850034096e+16,48,3.732529
-2.1809535699405284e+16,48,3.768123
-1.3036914020928866e+16,48,3.802393
-2.053886964001732e+16,48,3.836195
-9432144264008240.0,48,3.871747
-1.0570253001880318e+16,48,3.906269
-2.0524830185081396e+16,48,3.940464
-1.8359765546844376e+16,48,3.975744
-2.06869393634071e+16,48,4.010021
-1.514352391606959e+16,48,4.044212
-1.5219121765715928e+16,48,4.079456
-6643064807402747.0,48,4.113645
-1.1858550138199362e+16,48,4.14833
-3.5143290370206596e+16,48,4.183655
-2.0694197140515204e+16,48,4.217971
-1.7616642593008944e+16,48,4.251821
-2.016282316553533e+16,48,4.287773
-3.4146860649622828e+16,48,4.321976
-1.641899989069289e+16,48,4.356485
-1.52630387509255e+16,48,4.391613
-1.6542147568434096e+16,48,4.426071
-2.7655069598446196e+16,48,4.461864
-2.4121148140091932e+16,48,4.496636
-7672652444282486.0,48,4.531186
-1.3833911150266754e+16,48,4.566718
-2.8083063294831956e+16,48,4.601053
-2.0310357987549304e+16,48,4.634853
-1.7084565240225182e+16,48,4.669491
-1.149347643268458e+16,48,4.843026
-2.0717632330526e+16,48,4.878246
-3.1775889773788548e+16,48,4.912091
-1.255158384253532e+16,48,4.945759
-7479605520496396.0,48,4.980637
-6691298528530834.0,48,5.01435
-1.5956705532805024e+16,48,5.048126
-1.7588272516409904e+16,48,5.082902
-1.2460081377003372e+16,48,5.116603
-6115950797139896.0,48,5.150424
-9254125835749060.0,48,5.185265
-9224071960028620.0,48,5.219264
-7500333043839693.0,48,5.253217
-1.6643200945076094e+16,48,5.288532
