#{"t_start": 1722449809.196346, "env_id": "None"}
r,l,t
-3.007885140563923e+16,48,0.040663
-2.1918892114132268e+16,48,0.072302
-2.2022211213143824e+16,48,0.357603
-3.062324152506383e+16,48,0.635509
-5.162317294011707e+16,48,0.921628
-1.5472605619388128e+16,48,1.192483
-1.8289431419644484e+16,48,1.47196
-1426895264935500.2,48,1.74781
-3066115664373215.0,48,2.026323
-2.2824748696356056e+16,48,2.315199
-5.835324317194513e+16,48,2.585433
-6.8163239367676584e+16,48,2.862362
-3.309276639201124e+16,48,3.133871
-3398210352406597.5,48,3.408928
-6.159721303209923e+16,48,3.687049
-4.278416477030557e+16,48,3.972196
-6.897084953333655e+16,48,4.240329
-4.349852367903185e+16,48,4.51393
-1929697600621205.0,48,4.802281
-7190343352321871.0,48,5.095835
-3.666769668259948e+16,48,5.377483
-1.79178967445984e+16,48,5.649147
-5263686013642374.0,48,5.927543
-1292536663718082.0,48,6.202654
-2.360056743464081e+16,48,6.47664
-4593775690305837.0,48,6.743137
-4.5441181023787336e+16,48,7.010852
-1.1279925380304934e+16,48,7.282493
-1.87380377600252e+16,48,7.562155
-918593022926060.6,48,7.842071
-1.4911948601666234e+16,48,8.115355
-7086773292383734.0,48,8.394409
-3.05137850371992e+16,48,8.678524
-5.654590834549211e+16,48,8.956329
-2.124832412396353e+16,48,9.252772
-4268931727316271.5,48,9.539084
-3.617005936895905e+16,48,9.819086
-6087877383165769.0,48,10.085584
-5714014369915130.0,48,10.35489
-2.4701294211103344e+16,48,10.626382
-4030912435470279.0,48,10.899874
-3522659662238448.5,48,11.169064
-141928610475865.1,48,11.455374
-3.3516968604362948e+16,48,11.745605
-1.0807917209398862e+16,48,12.043983
-563552634253076.2,48,12.330774
-2.4045077554639724e+16,48,12.61082
-5.2646064844934296e+16,48,12.90201
-1.2933327151918022e+16,48,13.208016
-2.140715525864586e+16,48,13.490246
-4326456353363440.5,48,13.767346
-2426752054382462.0,48,14.045889
-5841187710687316.0,48,14.333513
-9200141310729404.0,48,14.61251
-2.274212733954261e+16,48,14.893961
-1.2318553518128076e+16,48,15.163479
-2.492066339697105e+16,48,15.436509
-4209410111420024.5,48,15.708661
-4.607343529507233e+16,48,15.977709
-9119546739653902.0,48,16.251885
-1290317508787875.5,48,16.520665
-6223436387589733.0,48,16.788159
-1.6889047095624088e+16,48,17.071061
-422058810437624.75,48,17.348765
-7859218989497158.0,48,17.653643
-404547102884414.3,48,17.938183
-1.3401325263536428e+16,48,18.220793
-2.0185604024469684e+16,48,18.500798
-1.782326928387684e+16,48,18.785014
-4.096090139809798e+16,48,19.064227
-1.3922117141082666e+16,48,19.344626
-6789139693894709.0,48,19.621646
-1.95427214177696e+16,48,19.903074
-577699435477183.8,48,20.182576
-101422098472005.27,48,20.45789
-2924537455233431.0,48,20.730447
-1.1878221792132172e+16,48,21.010834
-9100744007709956.0,48,21.29812
-1.3608807690607626e+16,48,21.576669
-5391050373991526.0,48,21.853118
-919189977834102.9,48,22.162852
-5861184326997904.0,48,22.448986
-2.4494154448304264e+16,48,22.741829
-9982571166519996.0,48,23.022047
-91971384236055.64,48,23.3074
-4717189397627358.0,48,23.583671
-3907630641358032.0,48,23.858668
-81723309762509.1,48,24.138824
-7230816937883962.0,48,24.422594
-5440364762622577.0,48,24.695907
-2238642420392708.8,48,24.965757
-634749094925904.5,48,25.233861
