Date,Hour,Interval,Load
1/1/2021 0:00,1,1,"21,914"
1/1/2021 0:05,1,2,"21,851"
1/1/2021 0:10,1,3,"21,758"
1/1/2021 0:15,1,4,"21,665"
1/1/2021 0:20,1,5,"21,591"
1/1/2021 0:25,1,6,"21,503"
1/1/2021 0:30,1,7,"21,404"
1/1/2021 0:35,1,8,"21,318"
1/1/2021 0:40,1,9,"21,234"
1/1/2021 0:45,1,10,"21,138"
1/1/2021 0:50,1,11,"21,065"
1/1/2021 0:55,1,12,"21,002"
1/1/2021 1:00,2,1,"20,968"
1/1/2021 1:05,2,2,"20,930"
1/1/2021 1:10,2,3,"20,853"
1/1/2021 1:15,2,4,"20,762"
1/1/2021 1:20,2,5,"20,677"
1/1/2021 1:25,2,6,"20,615"
1/1/2021 1:30,2,7,"20,554"
1/1/2021 1:35,2,8,"20,510"
1/1/2021 1:40,2,9,"20,403"
1/1/2021 1:45,2,10,"20,328"
1/1/2021 1:50,2,11,"20,258"
1/1/2021 1:55,2,12,"20,196"
1/1/2021 2:00,3,1,"20,174"
1/1/2021 2:05,3,2,"20,154"
1/1/2021 2:10,3,3,"20,081"
1/1/2021 2:15,3,4,"20,014"
1/1/2021 2:20,3,5,"19,984"
1/1/2021 2:25,3,6,"19,942"
1/1/2021 2:30,3,7,"19,881"
1/1/2021 2:35,3,8,"19,864"
1/1/2021 2:40,3,9,"19,828"
1/1/2021 2:45,3,10,"19,805"
1/1/2021 2:50,3,11,"19,763"
1/1/2021 2:55,3,12,"19,723"
1/1/2021 3:00,4,1,"19,714"
1/1/2021 3:05,4,2,"19,733"
1/1/2021 3:10,4,3,"19,713"
1/1/2021 3:15,4,4,"19,688"
1/1/2021 3:20,4,5,"19,674"
1/1/2021 3:25,4,6,"19,646"
1/1/2021 3:30,4,7,"19,598"
1/1/2021 3:35,4,8,"19,569"
1/1/2021 3:40,4,9,"19,543"
1/1/2021 3:45,4,10,"19,532"
1/1/2021 3:50,4,11,"19,528"
1/1/2021 3:55,4,12,"19,528"
1/1/2021 4:00,5,1,"19,570"
1/1/2021 4:05,5,2,"19,596"
1/1/2021 4:10,5,3,"19,602"
