#{"t_start": 1722443081.6461415, "env_id": "None"}
r,l,t
-2.56992729437104e+27,48,0.044212
-1.436037493068865e+27,48,0.077749
-1.8314326073875457e+27,48,0.112417
-1.6630054186201162e+27,48,0.145512
-3.4042785288082465e+27,48,0.178816
-2.50248876785291e+27,48,0.213454
-1.3178202410539946e+27,48,0.247025
-2.4019683805756168e+27,48,0.280537
-2.509910579547848e+27,48,0.315104
-2.960994382210766e+26,48,0.348174
-5.3741930042277675e+26,48,0.381608
-1.3823912840613007e+27,48,0.415765
-5.727929002412417e+27,48,0.449248
-6.061242741100327e+27,48,0.482863
-2.2017949666980204e+27,48,0.517379
-1.65759989661483e+27,48,0.550374
-2.433266357333886e+27,48,0.583653
-1.5449327573367768e+27,48,0.617978
-4.7391376875604475e+27,48,0.651254
-4.548735784986657e+27,48,0.684291
-2.2761794401483408e+27,48,0.71916
-3.5299809012479184e+27,48,0.752773
-3.5015787824320484e+27,48,0.786474
-1.634821964765978e+27,48,0.821352
-3.2229213025132453e+27,48,0.854992
-6.26490580098044e+27,48,0.888593
-4.799133962464643e+27,48,0.923403
-3.820719604835527e+27,48,0.956919
-4.247130915356444e+27,48,0.9905
-1.2044110517089021e+27,48,1.026072
-6.473115563013295e+26,48,1.060229
-8.25526625954986e+26,48,1.093956
-2.758986610718318e+27,48,1.129082
-2.183408294175933e+27,48,1.162672
-1.4636213252596232e+27,48,1.196552
-5.234513882822916e+27,48,1.231336
-2.6243639200400845e+27,48,1.26521
-8.29302107300321e+26,48,1.298892
-1.0496548609305766e+27,48,1.333799
-1.7982825197024407e+27,48,1.367854
-1.8632370259960082e+27,48,1.40224
-2.566499234799461e+27,48,1.437703
-5.045038296937426e+27,48,1.617222
-4.4632944206929384e+27,48,1.65283
-3.93498644241916e+27,48,1.687588
-1.2504510457445066e+27,48,1.722147
-6.907462725290917e+27,48,1.758037
-3.407951991761001e+27,48,1.792176
-1.1953061841595925e+27,48,1.826389
-3.640248399568728e+27,48,1.861601
-9.320024714122933e+26,48,1.895847
-1.490093795374308e+27,48,1.931198
-3.789704209391064e+27,48,1.965248
-2.924630308981398e+27,48,1.999137
-1.1512279864724536e+27,48,2.0343
-2.775177465966361e+27,48,2.068291
-4.719206330884455e+27,48,2.102231
-2.3885472274122685e+27,48,2.137689
-1.924795149034447e+27,48,2.171833
-8.377860419331105e+26,48,2.205783
-3.754755403435068e+27,48,2.241269
-1.0186199864588231e+27,48,2.275539
-1.5655619779300033e+27,48,2.309679
-3.48041827713583e+27,48,2.34472
-1.0538693891496552e+27,48,2.378735
-2.204299337505036e+27,48,2.412758
-1.0760320839073122e+27,48,2.448052
-1.0299462826801677e+27,48,2.482519
-3.269023462602857e+27,48,2.517092
-9.047265105444171e+26,48,2.552562
-1.4583057780105637e+27,48,2.586774
-1.3293566780859034e+27,48,2.620587
-3.3709112741088026e+27,48,2.655824
-3.506966239776067e+26,48,2.689873
-7.917296891961945e+26,48,2.723948
-7.073414030983488e+26,48,2.759608
-1.3752095511652387e+27,48,2.794011
-2.0289704535952455e+27,48,2.8289
-5.752632875035789e+26,48,2.864723
-9.879952638369236e+26,48,2.898807
-3.883122316782708e+27,48,2.933084
-1.0343733745561752e+26,48,2.968775
-2.166999829413951e+27,48,3.00354
-1.551230970405719e+27,48,3.037999
-8.19661080687439e+26,48,3.073744
-1.5623423595140583e+27,48,3.251218
-1.1659670403174278e+27,48,3.285379
-1.817373394602357e+27,48,3.319586
-9.685776157154729e+26,48,3.354928
-9.891188007826057e+26,48,3.389099
-1.674642187468089e+27,48,3.423221
-8.71515167403704e+26,48,3.45856
-6.9732243561841e+26,48,3.493194
-4.7923541661626835e+27,48,3.527761
-1.2779986759183083e+27,48,3.563441
-1.401680230781406e+27,48,3.597187
-6.956908643183659e+26,48,3.631467
-3.264532296174544e+27,48,3.666455
-1.7154785027831404e+27,48,3.700431
-1.400303398808757e+27,48,3.73437
-2.2666063608449404e+27,48,3.769624
-1.575631123587287e+27,48,3.804269
-1.074215151539202e+27,48,3.838899
-1.3789579359167968e+27,48,3.873845
-1.573151162275296e+27,48,3.907861
-4.479814686537886e+27,48,3.941994
-5.343964478384281e+27,48,3.977054
-6.446258542127722e+27,48,4.010698
-2.2163598251217298e+27,48,4.044716
-2.424981827547647e+27,48,4.079607
-5.372020920330355e+26,48,4.112895
-8.628017821288093e+26,48,4.146438
-1.857438244300486e+27,48,4.181635
-5.8456194528707314e+26,48,4.21545
-7.311537016984719e+26,48,4.248989
-6.479284515846069e+27,48,4.28353
-1.2317340784746848e+27,48,4.316821
-1.1965514955309742e+27,48,4.350443
-1.1143311648460488e+27,48,4.385019
-7.825232871185319e+26,48,4.418582
-5.019900502241923e+26,48,4.452288
-5.930713633557462e+26,48,4.487435
-3.9116032191529964e+27,48,4.520921
-9.54035336693749e+26,48,4.554341
-1.3157155860418653e+27,48,4.589369
-5.465055529465337e+27,48,4.623475
-3.6963992970549046e+27,48,4.657679
-2.2086367317430674e+27,48,4.692834
-1.4041679835673588e+27,48,4.875671
-3.382439311534346e+27,48,4.909362
-2.3292102106965436e+27,48,4.943124
-1.2682957267818413e+27,48,4.978362
-1.6531140348188843e+27,48,5.012517
-6.024950756631194e+27,48,5.046799
-3.741962804647469e+27,48,5.082251
-1.8150555306992482e+27,48,5.116312
-9.025683824205047e+26,48,5.150358
-3.3178641689411136e+27,48,5.186103
-4.538914340708774e+26,48,5.220324
-1.5696307816801967e+27,48,5.253754
-3.767204396352895e+27,48,5.288443
-2.2469794462768367e+27,48,5.321997
-7.725786544539394e+26,48,5.355705
-2.1647162757876974e+27,48,5.390215
-2.447138047860636e+27,48,5.423599
-1.9807088385256144e+27,48,5.457132
-1.3107603332441069e+27,48,5.49368
-1.176508956908691e+27,48,5.528343
-4.572204515136928e+27,48,5.562891
-5.931563877142673e+26,48,5.598117
-9.238335406476699e+26,48,5.632234
-1.8612525767509253e+27,48,5.665789
-2.2951542222620619e+27,48,5.700733
-2.0432536057146153e+26,48,5.734867
-1.4262756226263393e+27,48,5.769075
-1.323854320494797e+27,48,5.804702
-5.348004283704283e+27,48,5.839175
-7.798368582510795e+26,48,5.873383
-6.393818367839366e+26,48,5.908685
-8.153685768781694e+26,48,5.942053
-5.496029152984573e+27,48,5.975522
-7.886828418563362e+26,48,6.01005
-1.194125088788672e+27,48,6.043586
-5.835331676857068e+26,48,6.076958
-2.614093337872794e+27,48,6.112434
-1.069922335807148e+27,48,6.14591
-5.11222108799935e+26,48,6.1796
-9.14949387616606e+26,48,6.214586
-7.720333636515736e+26,48,6.248898
-3.591228865709185e+27,48,6.283729
-1.0681987007433156e+27,48,6.455943
-1.847632831620552e+27,48,6.492187
-1.179013041703544e+27,48,6.52699
-9.4893100913392e+26,48,6.561101
-2.508335597561044e+27,48,6.595989
-7.924113500150117e+26,48,6.629626
-2.002699589137466e+27,48,6.663122
-1.7159619410678223e+26,48,6.697667
-2.104190723334735e+27,48,6.731187
-6.737340654974398e+26,48,6.764431
-8.11674759285444e+26,48,6.79955
-3.320412256781134e+26,48,6.834206
-1.441013826439826e+27,48,6.868246
-5.888064190031761e+26,48,6.902965
-2.1935382647507325e+27,48,6.936475
-1.1170065976510913e+27,48,6.970321
-1.90774641939292e+27,48,7.005501
-6.060085029544797e+27,48,7.039097
-3.810749945320698e+26,48,7.073461
-1.1301206754449082e+27,48,7.109128
-5.255419721572211e+26,48,7.143687
-1.2005110656542159e+27,48,7.177023
-7.455682301545559e+26,48,7.211523
-6.979069339200165e+26,48,7.245007
-3.1536183765864946e+26,48,7.278483
-7.702603117271817e+25,48,7.312707
-3.4406788757244586e+27,48,7.346315
-1.9760848545071075e+27,48,7.379731
-1.6263137516161894e+27,48,7.414959
-8.140229871819447e+25,48,7.448712
-9.473788408469308e+26,48,7.482778
-8.394281051605788e+26,48,7.51809
-6.869057718794664e+26,48,7.55187
-8.423918352496609e+26,48,7.584924
-2.950399448508709e+27,48,7.619614
-6.233067683450792e+26,48,7.653521
-4.9573471881298516e+26,48,7.686914
-1.266795759849921e+27,48,7.722049
-1.2167129059133387e+27,64,8.015558
-1.1530117099221492e+27,48,8.049542
-1.7741424503831169e+27,48,8.083697
-3.7514181579210663e+27,48,8.119129
-2.0880164715433417e+27,48,8.153445
-2.251601578460707e+27,48,8.329201
-4.401171501914382e+27,48,8.363335
-2.3935079500764074e+27,48,8.397186
-8.126452282803807e+26,48,8.432554
-1.704814123148957e+27,48,8.466973
-4.3967881671252154e+26,48,8.50209
-4.160834367321769e+26,48,8.537199
-6.699036141712579e+26,48,8.570724
-3.5620590230873906e+26,48,8.604468
-4.264529773117277e+26,48,8.639427
-1.612950598718054e+27,48,8.673198
-1.9718569368965448e+27,48,8.706952
-1.6630092712280615e+27,48,8.742005
-1.9330515874489912e+27,48,8.775962
-1.5902976401413196e+27,48,8.810199
-4.970623971070613e+26,48,8.845027
-1.177432915857375e+27,48,8.878679
-3.998986637570957e+26,48,8.912439
-1.5168221232267838e+27,48,8.947507
-1.8335003172199313e+27,48,8.981286
-7.650486377998138e+26,48,9.016161
-1.6117260522289634e+27,48,9.049856
-4.002023245899546e+27,48,9.083479
-8.149449603974746e+26,48,9.118413
-4.8891516577480536e+26,48,9.152947
-8.465560136493982e+26,48,9.187187
-3.265163161370202e+27,48,9.2223
-4.835099496947895e+27,48,9.255912
-9.213411872497826e+26,48,9.289499
-1.0270400632960839e+27,48,9.324491
-1.2792377946766435e+27,48,9.358617
-8.065113566231076e+26,48,9.39267
-8.378752620681888e+26,48,9.427925
-9.430989420226378e+26,48,9.462395
-9.12643844739107e+26,48,9.497221
-7.870151459649336e+26,48,9.532868
-1.0646099160382566e+27,48,9.567879
-7.400789447261889e+26,48,9.602396
-3.7273281247688775e+26,48,9.637843
-1.0114760636387938e+27,48,9.671586
-1.7549125446455763e+27,48,9.705507
-3.166720868704896e+27,48,9.740973
-2.1478860391174723e+26,48,9.916481
-5.4555353923265136e+26,48,9.952505
-1.005413434306971e+27,48,9.987101
-1.620098334011032e+27,48,10.020935
-3.5929785406739576e+27,48,10.056063
-1.6482832545534917e+27,48,10.089982
-1.8814538617269607e+27,48,10.123802
-2.790176568131038e+27,48,10.159443
-2.216435435187935e+26,48,10.193808
-3.680339568864407e+26,48,10.228337
-2.717876841339779e+27,48,10.263355
-1.508662561686773e+27,48,10.297109
-3.640170956739072e+26,48,10.330777
-1.073226872074735e+27,48,10.366284
-1.8354780536721106e+27,48,10.400739
-2.2649598289746117e+27,48,10.436305
-1.8497665221667525e+27,48,10.470783
-1.0532233473652455e+27,48,10.505351
-3.91679184691139e+26,48,10.540936
-6.478412094104654e+26,48,10.575088
-1.6627237405905182e+27,48,10.609508
-1.4507158099726933e+27,48,10.64496
-5.95977357029335e+26,48,10.679536
-1.3969712758342615e+27,48,10.713976
-1.6947633695069533e+27,48,10.749542
-1.0163762022130729e+27,48,10.783977
-8.845091175273378e+26,48,10.818969
-3.248251618941299e+27,48,10.855706
-8.409112406652075e+26,48,10.890215
-1.0325021341694501e+27,48,10.924387
-1.6283936918776485e+27,48,10.961318
-1.275903932920809e+27,48,10.995845
-2.731975634318468e+26,48,11.030352
-4.145869918671919e+26,48,11.066283
-4.319741613612849e+26,48,11.100712
-4.2245773569294075e+26,48,11.135688
-2.4506855993150225e+27,48,11.171897
-1.8402337439236074e+27,48,11.206406
-5.823257326822815e+26,48,11.240959
-1.7905954796377862e+27,48,11.27668
-9.998878845687279e+26,48,11.310938
-1.793733974810914e+27,48,11.344817
-3.3332979808424116e+27,48,11.38053
-6.430401114951074e+26,48,11.56066
-3.461224171704471e+26,48,11.595811
-4.70649402324867e+26,48,11.630568
-1.2907507139142711e+27,48,11.666198
-8.77712000851432e+26,48,11.700697
-8.032556701392057e+26,48,11.735331
-1.638128583300088e+26,48,11.771112
-1.8267690137907212e+27,48,11.805674
-1.993742909627611e+27,48,11.840542
-1.527130125776321e+27,48,11.87642
-1.4508473535037384e+27,48,11.91071
-2.3587159557712814e+27,48,11.944601
-8.138288381057348e+26,48,11.979667
-1.7125647495336978e+27,48,12.013686
-2.5921886333444544e+27,48,12.047335
-2.550423365553346e+26,48,12.08272
-3.0799011066474585e+26,48,12.116798
-2.8218891269051156e+27,48,12.150759
-1.0803282635941103e+27,48,12.185719
-5.422729680675969e+26,48,12.219927
-1.205425722139237e+27,48,12.254089
-3.5391321034748494e+26,48,12.289342
-8.502880439717347e+26,48,12.323059
-4.5798254486637244e+26,48,12.357067
-9.145415192454822e+26,48,12.392121
-4.972238344330815e+26,48,12.425995
-9.46101335558571e+26,48,12.460991
-4.6000667826705254e+27,48,12.496258
-4.510739540037466e+27,48,12.530757
-1.390958200860628e+27,48,12.565842
-8.421329738569577e+26,48,12.599326
-5.5783335959422955e+26,48,12.632998
-1.0655157897225385e+27,48,12.668043
-4.33021465502031e+26,48,12.702237
-3.7893374656196805e+26,48,12.735821
-1.6554428423681745e+27,48,12.771137
-7.367949277033633e+26,48,12.805148
-1.3060665504523272e+27,48,12.838887
-2.3585123011785741e+27,48,12.873785
-1.791038187754832e+27,48,12.907622
-3.7303631412395123e+27,48,12.941204
-2.095039560326095e+26,48,12.976072
-1.341650708096929e+26,48,13.009686
-3.253646681628511e+27,48,13.202015
